<Name>	Online Status	Long Description	Long Description MM	Marketing Text MM	Short Description	Short Description MM
1294485 TX-SR 308 S SILBER	ACTIVE				TX-SR 308 S SILBER	
1294487 TX-SR 508 S SILBER	ACTIVE				TX-SR 508 S SILBER	
1294486 TX-SR 308 B SCHWARZ	ACTIVE				TX-SR 308 B SCHWARZ	
1294492 TX-SR 608 S SILBER	ACTIVE				TX-SR 608 S SILBER	
1294488 TX-SR 508 B SCHWARZ	ACTIVE				TX-SR 508 B SCHWARZ	
1294493 TX-SR 608 B SCHWARZ	ACTIVE				TX-SR 608 B SCHWARZ	
1300772 PMA 1510 AESPE2 SILBER	ACTIVE				PMA 1510 AESPE2 SILBER	
1300773 PMA 1510 AEBKE2 SCHWARZ	ACTIVE				PMA 1510 AEBKE2 SCHWARZ	
1296458 T-R 650 SCHWARZ	ACTIVE		"<header>Synthesizer Tuner für besten Empfang</header>
In Design und Funktion optimal auf den Verstärker A-R650 abgestimmt, bietet der Stereo-Tuner T-R650 je 30 Speicherplätze für UKW- und Mittelwellenfrequenzen. Ein dimmbares Multifunktions-LC-Display hilft bei der Auswahl des Musik-Genres und zeigt schließlich den Namen des eingestellten Senders an. Über die im Lieferumfang des Verstärkers A-R650 enthaltene System-Remote ist der Tuner auch fernbedienbar."		Stereo Tuner	
1300774 DCD 1510 AESPE2 SILBER	ACTIVE				DCD 1510 AESPE2 SILBER	
1300776 DCD 1510 AEBKE2 SCHWARZ	ACTIVE				DCD 1510 AEBKE2 SCHWARZ	
1303803 RX-V 367 TITAN	ACTIVE				RX-V 367 TITAN	
1303805 RX-V 467 SCHWARZ	ACTIVE				RX-V 467 SCHWARZ	
1312136 PM 5004 N1SG SILBERGOLD	ACTIVE				PM 5004 N1SG SILBERGOLD	
1302437 AVR 1911 BKE2 SCHWARZ	ACTIVE				AVR 1911 BKE2 SCHWARZ	
1304119 VSX 520 K SCHWARZ	ACTIVE				VSX 520 K SCHWARZ	
1312135 PM 5004 N1B SCHWARZ	ACTIVE				PM 5004 N1B SCHWARZ	
1312133 CD 5004 N1B SCHWARZ	ACTIVE				CD 5004 N1B SCHWARZ	
1304125 VSX 920 K SCHWARZ	ACTIVE		"<header>Bester Ton, bestes Bild. Online und Offline.</header>

3D: Game, Movie, BroadcastUm Ihre Entertainment-Wünsche rundum zu erfüllen, haben wir den Pioneer VSX-920-K entwickelt. Er bietet Ihnen unter anderem auch Internet-Radio für den Empfang tausender Streaming- oder Playlisten-orientierter Sender weltweit. 24 Stationen lassen sich bequem speichern.

Bluetooth enabledPer Bluetooth Audio-Streaming mit einem optionalen Adapter können Sie Musik drahtlos von Ihrem iPod touch, iPhone oder Smartphone genießen, während Sie es bei sich tragen oder in Griffweite haben. Das Bluetooth Audio-Streaming ist auch mit anderen kompatiblen Geräten möglich, zum Beispiel von Ihrem PC. Und unser Sound Retriever AIR bringt dabei die Klangqualität der drahtlos übertragenen Audiodateien wieder ganz nahe an die Qualität der ursprünglichen Aufnahme heran.

Mit unserer iControlAV Software können Sie Ihr iPhone oder Ihren iPod auch als Fernbedienung benutzen.

Der Pioneer VSX-920-K verfügt über einen integrierten HD-Audio-Decoder für ein überwältigendes Entertainment-Erlebnis.

HDMIAnaloge Videoquellen werden in ein HDMI-Signal mit bis zu 1080p HD-Auflösung skaliert und HDMI v1.4a bietet erweiterte Anschlussmöglichkeiten für HD-Quellen sowie Kompatibilität mit den neuesten Videoformaten bis hin zu 3D.

Wenn Sie einen Blu-ray-Player über HDMI an den Pioneer VSX-920-K anschließen, sorgt unsere einzigartige PQLS-Technologie für eine Übertragung ohne durch Laufzeitfehler bedingte Störungen. Kurz gesagt: Sie genießen die bestmögliche Klangqualität."		VSX 920 K SCHWARZ	
1305055 WFR 1 I-RADIO	ACTIVE	UKW-RDS/iRadio und Netzwerk-Musikspieler, MP3, WMA, direkter Zugang zu über 16.000 Internetsendern.	"<header>WFR-1 I-Radio/DAB+</header>



<body>UKW-RDS/iRadio und Netzwerk-Musikspieler, spielt Real Audio, MP3, WMA, direkter Zugang zu über 16.000 Internetsendern, spielt Ihre Musiksammlung von Ihrem PC, Aux-In und Line-Out, Infrarot-Fernbedienung, Ethernetkabel (drahtlose Verbindung und Kabelverbindung), Stereo-Kopfhöreranschluss, sucht nach Land, Genre oder Favorit, 20 Senderspeicher, Equalizer-Presets und Bass-/Treble-Kontrolle und Update über Internet und USB.</body>"		WFR 1 I-RADIO	
1303806 RX-V 467 TITAN	ACTIVE				RX-V 467 TITAN	
1310944 AD 800	ACTIVE		"CD-Player und Kassettendeck in einem

Das im AD-800 eingebaute CD-Laufwerk gibt CD, CD-R/RW und MP3 Discs wieder. Es verfügt über mehrere Programmfunktionen und einen Timer. Das Auto-Reverse Kassettendeck erlaubt die Aufnahme vom eingebauten CD-Player oder anderen über den Line-Eingang oder den USB-Port angeschlossenen Quellen, wobei der Aufnahmepegel regelbar ist. Gesteuert wird das Recording manuell oder per Timer.

Die Wiedergabe kann dank Pitch Control beschleunigt oder verlangsamt erfolgen, ohne dass die Tonhöhe verändert wird. Dolby B reduziert mögliches Rauschen. Der USB-Anschluss des AD-800 arbeitet bi-directional, das heißt, er bietet die Möglichkeit, von CD, Kassette oder einem externen Gerät direkt auf ein USB-Speichermedium, wie zum Beispiel einen MP3-Player oder einen Memory Stick, aufzuzeichnen oder die dort befindlichen Dateien abzuspielen (MP3 Coding und De-Coding). LC-Display, Kopfhörer-Eingang und Fernbedienung vervollkommnen das vielseitige System."		AD 800	
1310946 A-R 650 SCHWARZ	ACTIVE		"Kraftvoller Vollverstärker mit zwei Paar Lautsprecherausgängen

Der Vollverstärker A-R650 liefert bis zu 2 x 120 Watt Leistung und lässt sich mit Anschlussimpedanzen von 4 – 16 Ω betreiben. Damit eignet er sich für Regal-Monitorlautsprecher ebenso wie für voluminösere Bodensysteme. Da der Verstärker zwei Paar Lautsprecherausgänge besitzt, können sogar beide Varianten gleichzeitig betrieben werden. Weitere Features sind ein regelbarer Mikrofon-Eingang sowie ein Kopfhöreranschluss. Zum Lieferumfang des A-R650 gehört eine Systemfernbedienung, die den passenden Stereo-Tuner T-R650 sowie die mit dem „UR“-Symbol gekennzeichneten TEAC CD-Player gleich mit steuert."		A-R 650 SCHWARZ	
1302436 AVR 1611 BKE2 SCHWARZ	ACTIVE				AVR 1611 BKE2 SCHWARZ	
1303802 RX-V 367 SCHWARZ	ACTIVE				RX-V 367 SCHWARZ	
1312134 CD 5004 N1SG SILBERGOLD	ACTIVE		"<header>Produktbeschreibung</header>

<body>Der CD5004 gibt CDs, CD-R- und CD-RW-Discs sowie MP3- und WMA-Dateien wieder. Und was vielleicht noch wichtiger ist: Er unterstützt die Wiedergabe von Audio in bester Qualität. Erreicht wird dies durch die integrierten hochwertigen Audiokomponenten, wie den berühmten AC-Wandler CS4392 und das Marantz eigene HDAM-SA2. Auch die Klangeinstellung und die zuverlässige CD-Lademechanik wurden mit ausgesuchten Komponenten realisiert. Mit dem Audio EX(clusive)-Modus wird eine weitere Verbesserung der Klangqualität erzielt, indem nicht verwendete Funktionen, beispielsweise der digitale Ausgang und das Pitch Control, ausgeschaltet werden. Mit dem Auto Music Scan (AMS) können Sie Musik auf der Disc schnell suchen und mit der Quick Replay-Funktion Ihre Lieblingspassagen wiederholen. Die hochwertigen und vergoldeten Analogausgänge garantieren darüber hinaus eine optimale Verbindung. Ein gut definierter Kopfhörerausgang, ein leicht lesbares Display und eine Fernbedienung runden diesen hervorragenden Player ab</body>."		CD 5004 N1SG SILBERGOLD	
1327397 RX-V 3067 SCHWARZ	ACTIVE	7.1-Kanal AV-Receiver mit 11.2 Erweiterungsmöglichkeit unterstützt 3D und Audio Return Channel (ARC) über HDMI (8 Ein-/2 Ausgänge HDMI Version 1.4a), HD Audio Dekoder mit CINEMA DSP 3D, modernster Videoprozessor HQV Vida, verbessertes GUI, YPAO mit Raumreflexionskorrektur und SCENE-Funktion.	<body>7.1-Kanal AV-Receiver mit 11.2 Erweiterungsmöglichkeit unterstützt 3D und Audio Return Channel (ARC) über HDMI (8 Ein-/2 Ausgänge HDMI Version 1.4a), HD Audio Dekoder mit CINEMA DSP 3D, modernster Videoprozessor HQV Vida, verbessertes GUI, YPAO mit Raumreflexionskorrektur und SCENE-Funktion.</body>		RX-V 3067 SCHWARZ	
1327399 RX-V 3067 TITAN	ACTIVE	7.1-Kanal AV-Receiver mit 11.2 Erweiterungsmöglichkeit unterstützt 3D und Audio Return Channel (ARC) über HDMI (8 Ein-/2 Ausgänge HDMI Version 1.4a), HD Audio Dekoder mit CINEMA DSP 3D, modernster Videoprozessor HQV Vida, verbessertes GUI, YPAO mit Raumreflexionskorrektur und SCENE-Funktion.	<body>7.1-Kanal AV-Receiver mit 11.2 Erweiterungsmöglichkeit unterstützt 3D und Audio Return Channel (ARC) über HDMI (8 Ein-/2 Ausgänge HDMI Version 1.4a), HD Audio Dekoder mit CINEMA DSP 3D, modernster Videoprozessor HQV Vida, verbessertes GUI, YPAO mit Raumreflexionskorrektur und SCENE-Funktion.</body>		RX-V 3067 TITAN	
1318692 AVR 1311 BKE2 SCHWARZ	ACTIVE				AVR 1311 BKE2 SCHWARZ	
1327426 A-S 300 SCHWARZ	ACTIVE				A-S 300 SCHWARZ	
1327430 A-S 500 SILBER	ACTIVE				A-S 500 SILBER	
1327427 A-S 300 SILBER	ACTIVE				A-S 300 SILBER	
1327429 A-S 500 SCHWARZ	ACTIVE				A-S 500 SCHWARZ	
1329070 P 3000 R-B SCHWARZ	ACTIVE	"Fein in der Auflösung, authentisch im Klang

Auch wenn Onkyo heute als Pionier im wachsenden Heimkino-Markt bekannt ist, hat das Unternehmen seine Wurzeln im reinen Hi-Fi-Audio nie vergessen. Mit dem P-3000R stellen wir Ihnen einen aufwändig gefertigten Zweikanal-Vorverstärker vor, der sich durch erstklassige Audiotechnologien auszeichnet. Der P-3000R unterstützt sowohl analoge als auch digitale Quellen und bietet verschiedene Verbindungsmöglichkeiten wie digitale AES/EBU-Anschlüsse sowie einen USB-Eingang für die Audiowiedergabe vom PC. Separate Burr-Brown 192 kHz/32-Bit-DA-Wandler für jeden Kanal sorgen für eine hochpräzise Digital-Analog-Wandlung. Zur effektiven Minimierung von Interferenzen und Gewährleistung einer hohen Signalqualität nutzt der P-3000R die DIDRC-Technologie zur Rauschunterdrückung und verfügt über ein schwingungsdämpfendes Chassis-Design sowie eine unabhängige Verstärkerschaltung. Dank der Bi-Amping-Fähigkeit des P-3000R sind Sie bei der Konfiguration Ihres Systems besonders flexibel. Unser Ziel bei der Entwicklung des P-3000R: Sie Ihrer Musik noch näher zu bringen und Sie die Schwingung jedes einzelnen Instrumentes fühlen zu lassen. "			P 3000 R-B SCHWARZ	
1329069 P 3000 R-S SILBER	ACTIVE	"Fein in der Auflösung, authentisch im Klang

Auch wenn Onkyo heute als Pionier im wachsenden Heimkino-Markt bekannt ist, hat das Unternehmen seine Wurzeln im reinen Hi-Fi-Audio nie vergessen. Mit dem P-3000R stellen wir Ihnen einen aufwändig gefertigten Zweikanal-Vorverstärker vor, der sich durch erstklassige Audiotechnologien auszeichnet. Der P-3000R unterstützt sowohl analoge als auch digitale Quellen und bietet verschiedene Verbindungsmöglichkeiten wie digitale AES/EBU-Anschlüsse sowie einen USB-Eingang für die Audiowiedergabe vom PC. Separate Burr-Brown 192 kHz/32-Bit-DA-Wandler für jeden Kanal sorgen für eine hochpräzise Digital-Analog-Wandlung. Zur effektiven Minimierung von Interferenzen und Gewährleistung einer hohen Signalqualität nutzt der P-3000R die DIDRC-Technologie zur Rauschunterdrückung und verfügt über ein schwingungsdämpfendes Chassis-Design sowie eine unabhängige Verstärkerschaltung. Dank der Bi-Amping-Fähigkeit des P-3000R sind Sie bei der Konfiguration Ihres Systems besonders flexibel. Unser Ziel bei der Entwicklung des P-3000R: Sie Ihrer Musik noch näher zu bringen und Sie die Schwingung jedes einzelnen Instrumentes fühlen zu lassen. "			P 3000 R-S SILBER	
1315812 MM 7055 N1B SCHWARZ	ACTIVE	Der neue MM7055 ist die Fünf-Kanal-Lösung in der erweiterten Serie von Endverstärkern dieses Jahres. Er basiert auf der Technologie des MM8003 und liefert beeindruckende 140W rms bei 8 Ohm an jedem Kanal. Gleichzeitig kann die Stromgegenkopplungstechnologie mit einer äußerst großen Bandbreite selbst die höchsten SACD-Frequenzen problemlos wiedergeben. Somit ist das Gerät auch für die hochauflösenden DTS Master Audio und Dolby TrueHD-Formate ideal geeignet. Das Ergebnis? Absolute Ausgeglichenheit von Ton und Bild sowie von Geschwindigkeit und Dynamik. Und obendrein stehen Ihnen XLR-Audioeingänge, DC-Trigger und ein Marantz Steuerbussystem zum Ein- und Ausschalten per Fernbedienung zur Verfügung. Das Gerät besitzt ein neues elegantes Display, das die aktuelle Ausgangsleistung anzeigt. Diese Kombination von Leistung und Bedienerfreundlichkeit wird Ihnen den Atem rauben.			Der neue MM7055 ist die Fünf-Kanal-Lösung in der erweiterten Serie von Endverstärkern dieses Jahres	
1315811 MM 7025 N1B SCHWARZ	ACTIVE	"
Der MM7025 ist der perfekte Zweikanal-Endverstärker der diesjährigen Produktserie mit kolossalen 140W rms bei 8 Ohm pro Kanal. Sie können ihn als AV-Verstärker nutzen und Ihren vorderen Kanälen eine bewegende Kraft verleihen, oder Sie verwenden den Verstärker einfach als sensationelle Verbesserung für Ihre bestehende Stereoanlage. Und da dieselbe Technologie wie im MM7055 und im MM8003 zum Einsatz kommt, ist die Kombination mit diesen Geräten schnell, effizient und einfach. Mit diesem Gerät stehen Ihnen großartige ﬂexible Anpassungsmöglichkeiten zur Verfügung. Ferner ist der Verstärker wie sein großer Bruder, der MM7055, mit einem neuen stilvollen Display, XLR-Eingängen, DC-Triggern und dem Marantz-Bus ausgestattet."			Der MM7025 ist der perfekte Zweikanal-Endverstärker der diesjährigen Produktserie mit kolossalen 140W rms bei 8 Ohm pro Kanal.	
1322714 MA 400	ACTIVE				MA 400	
1329071 M 5000 R-S SILBER	ACTIVE	"<header>Enorme Kraft. Exzellente Effizienz. Reiner Klang.</header>
Musik, wiedergegeben in exzellenter Klang- und Detailtreue, wirkt wahrhaft inspirierend und kann Ihnen andere Welten eröffnen. Für
Musikliebhaber ist der brandneue Hi-Fi-Verstärker M-5000R von Onkyo ein absolutes Muss. Die Signalqualität des M-5000R wird mithilfe
der neuartigen AWRAT-Technologie präzise bewahrt, während die dreistufige, invertierte Darlington-Schaltung für eine extrem effiziente
Leistungsverstärkung mit hohem Wirkungsgrad sorgt. Zwei massive Ringkerntransformatoren und vier Kondensatoren mit 27.000 μF
gewährleisten eine stabile Stromversorgung. Zur Minimierung von Fehlern bei der Stereowiedergabe weist der Verstärker eine vollständig
symmetrische Anordnung der Verstärkerbaugruppen für die Kanäle rechts und links auf."	"<header>Enorme Kraft. Exzellente Effizienz. Reiner Klang.</header>
Musik, wiedergegeben in exzellenter Klang- und Detailtreue, wirkt wahrhaft inspirierend und kann Ihnen andere Welten eröffnen. Für
Musikliebhaber ist der brandneue Hi-Fi-Verstärker M-5000R von Onkyo ein absolutes Muss. Die Signalqualität des M-5000R wird mithilfe
der neuartigen AWRAT-Technologie präzise bewahrt, während die dreistufige, invertierte Darlington-Schaltung für eine extrem effiziente
Leistungsverstärkung mit hohem Wirkungsgrad sorgt. Zwei massive Ringkerntransformatoren und vier Kondensatoren mit 27.000 μF
gewährleisten eine stabile Stromversorgung. Zur Minimierung von Fehlern bei der Stereowiedergabe weist der Verstärker eine vollständig
symmetrische Anordnung der Verstärkerbaugruppen für die Kanäle rechts und links auf."		M 5000 R-S SILBER	
1329072 M 5000 R-B SCHWARZ	ACTIVE		"<header>Enorme Kraft. Exzellente Effizienz. Reiner Klang.</header>
Musik, wiedergegeben in exzellenter Klang- und Detailtreue, wirkt wahrhaft inspirierend und kann Ihnen andere Welten eröffnen. Für
Musikliebhaber ist der brandneue Hi-Fi-Verstärker M-5000R von Onkyo ein absolutes Muss. Die Signalqualität des M-5000R wird mithilfe
der neuartigen AWRAT-Technologie präzise bewahrt, während die dreistufige, invertierte Darlington-Schaltung für eine extrem effiziente
Leistungsverstärkung mit hohem Wirkungsgrad sorgt. Zwei massive Ringkerntransformatoren und vier Kondensatoren mit 27.000 μF
gewährleisten eine stabile Stromversorgung. Zur Minimierung von Fehlern bei der Stereowiedergabe weist der Verstärker eine vollständig
symmetrische Anordnung der Verstärkerbaugruppen für die Kanäle rechts und links auf."		M 5000 R-B SCHWARZ	
1331324 W 890 R-B SCHWARZ	ACTIVE		"Leicht zu bedienendes Doppel-Kassettendeck

Der W-890R ist die ideale Lösung für Musiker, Verleiher, Theater, Schulen und Tagungszentren, die einen leicht zu bedienenden, aber gut klingenden Kassettenrecorder benötigen. Mit seinem weiten Frequenzbereich und der Dolby-B-Rauschunterdrückung mit Dolby HX Pro bietet er exzellenten Klang bei einfachster Handhabung. Aufgrund seiner beiden bidirektional arbeitenden Laufwerke sind die Stärken des W-890R die Daueraufnahme und -wiedergabe sowie das Kopieren von Kassetten.
Beide Laufwerke des W-890R können gleichzeitig aufnehmen. Dadurch ist es möglich, vom gleichen Ereignis zwei Mitschnitte zur gleichen Zeit anzufertigen. Wer lange Aufnahme- und Wiedergabezeiten benötigt, kann beide Laufwerke kombiniert nutzen. Markierte Abschnitte lassen sich wiederholt wiedergeben. Zudem bietet Deck 1 eine Nullrückkehr (RTZ) und die Möglichkeit, die Tonhöhe/Wiedergabegeschwindigkeit zu variieren. Ein Mikrofoneingang auf der Vorderseite vereinfacht spontane Aufnahmen. Und selbstverständlich können Sie mit dem W-890R auch ganz leicht Kassetten mit normaler oder hoher Geschwindigkeit vervielfältigen."		W 890 R-B SCHWARZ	
1333114 T-D 500 SCHWARZ	ACTIVE		"<header>DAB+ Tuner</header>
Der digitale DAB-Tuner überzeugt mit klarem Klang in bester CD-Qualität und passt hervorragend zu den neuen Stereo-Komponenten von Yamaha."		T-D 500 SCHWARZ	
1333115 T-D 500 SILBER	ACTIVE		"<header>DAB+ Tuner</header>
Der digitale DAB-Tuner überzeugt mit klarem Klang in bester CD-Qualität und passt hervorragend zu den neuen Stereo-Komponenten von Yamaha."		T-D 500 SILBER	
1322717 MT 420	ACTIVE				MT 420	
1327435 R-S 700 SCHWARZ	ACTIVE		"<header>Yamaha Stereo Receiver R-S700</header>
Dieser Stereo-Receiver überzeugt mit einer satten Ausstattung, hochwertiger Verarbeitung und herausragendem Klang."		R-S 700 SCHWARZ	
1327436 R-S 700 SILBER	ACTIVE				R-S 700 SILBER	
1327431 R-S 300 SILBER	ACTIVE	ausgesuchte Bauteile. Die Auto Power Off Funktion schaltet das Gerät automatisch nach einer bestimmten Zeit ab um Energie zu sparen.			R-S 300 SILBER	
1330961 R-S 300 SCHWARZ	ACTIVE	ausgesuchte Bauteile. Die Auto Power Off Funktion schaltet das Gerät automatisch nach einer bestimmten Zeit ab um Energie zu sparen.			R-S 300 SCHWARZ	
1327438 CD-S 300 SILBER	ACTIVE		Dieser CD-Spieler gibt Ihre Musik von unterschiedlichen Quellen wieder und ist der optimale Partner für den Einstieg in die HiFi-Welt.		CD-S 300 SILBER	
1331323 CD-P 650	ACTIVE		"CD-Player mit vielen Funktionen

Der Full Size Player gibt CD, CD-RW und MP3 Discs wieder. Programmfunktionen wie Wiederholung, Shuffle Play, etc. sorgen für komfortablen Hörgenuss. Über den frontseitigen USB-Port können die Lieblingssongs direkt von der CD auf einen angeschlossenen MP3-Player aufgenommen oder abgespielt werden. Zusätzlich kann über diesen USB-Zugang auch ein  iPod® oder iPhone® (nicht im Lieferumfang!) angedockt werden. Durch diese Verbindung können nun die gespeicherten Audiodateien des iPod®  direkt-digital und verlustfrei im 1Bit-Wandler des CD-Players verarbeitet und letztendlich für die Wiedergabe über Lautsprecher an einen angeschlossenen Verstärker weitergeleitet werden. Ganz nebenbei werden dann die Apple®-Geräte auch noch aufgeladen. Der Kopfhörer-Anschluss und ein optischer Digital-Ausgang komplettieren die Ausstattung. Der CD-P650 lässt sich manuell oder über die beigepackte Fernbedienung steuern. Mit dem passenden Verstärker A-R650 und dem ebenfalls von TEAC erhältlichen Stereo-Tuner T-R650 lassen sich die Komponenten zu einem klangstarken HiFi-System zusammen stellen."		CD-P 650	
1329075 C 7000 R-B SCHWARZ	ACTIVE		"<header>Lassen Sie Ihre Musik wieder hochleben</header>

<body>CDs begleiten uns bereits seit Jahrzehnten und bieten ein bequemes und hochwertiges Klangerlebnis. Der C-7000R umfasst ausgereifte Funktionen für die optimale Wiedergabe von Audio-CDs, CD-R/RWs bis hin zu MP3- oder WMA-codierten Discs. Zur Minimierung von Signalinterferenzen weist das Gerät einen temperaturgeregelten und hochgenauen Taktgenerator, eine gegenüber Taktungenauigkeiten unempfindliche PLL-Technologie sowie eine neue Platinenanordnung auf. Diese extrem sensiblen Komponenten befinden sich in einem schwingungsdämpfenden Gehäuse mit separaten Aluminiumwänden für Oberseite, Front und Seiten. Durch unseren kompromisslosen Ansatz gegen Interferenzen sind digitale und analoge Schaltungen physisch voneinander getrennt. Sie können entscheiden, ob Sie den C-7000R ausschließlich digital oder analog betreiben möchten. Der leise Lademechanismus und ein CD-Fach aus stabilem Aluminiumguss runden die audiophilen Qualitäten des Geräts ab.</body>"		C 7000 R-B SCHWARZ	
1329068 C 7000 R-S SILBER	ACTIVE	"Lassen Sie Ihre Musik wieder hochleben

CDs begleiten uns bereits seit Jahrzehnten und bieten ein bequemes und hochwertiges Klangerlebnis. Der C-7000R umfasst ausgereifte Funktionen für die optimale Wiedergabe von Audio-CDs, CD-R/RWs bis hin zu MP3- oder WMA-codierten Discs. Zur Minimierung von Signalinterferenzen weist das Gerät einen temperaturgeregelten und hochgenauen Taktgenerator, eine gegenüber Taktungenauigkeiten unempfindliche PLL-Technologie sowie eine neue Platinenanordnung auf. Diese extrem sensiblen Komponenten befinden sich in einem schwingungsdämpfenden Gehäuse mit separaten Aluminiumwänden für Oberseite, Front und Seiten. Durch unseren kompromisslosen Ansatz gegen Interferenzen sind digitale und analoge Schaltungen physisch voneinander getrennt. Sie können entscheiden, ob Sie den C-7000R ausschließlich digital oder analog betreiben möchten. Der leise Lademechanismus und ein CD-Fach aus stabilem Aluminiumguss runden die audiophilen Qualitäten des Geräts ab.
"			C 7000 R-S SILBER	
1326233 CD-S 300 BLACK	ACTIVE	Dieser CD-Spieler gibt Ihre Musik von unterschiedlichen Quellen wieder und ist der optimale Partner für den Einstieg in die HiFi-Welt.			CD-S 300 BLACK	
1347235 CD-RW 890 SCHWARZ	ACTIVE		"Für Homerecording ohne Probleme

Seit die meisten Haushalte über einen PC verfügen, sind reine CD-Rekorder fast vom Markt verschwunden. Dennoch gibt es immer noch einige Musikbegeisterte, die keinen PC besitzen oder Ihre Lieblingsmusik ohne den Umweg über den Rechner direkt vom Master auf eine Audio-CD-R oder -RW sichern wollen. Diese Marktlücke möchte TEAC mit dem CD-Rekorder CD-RW890 schließen. Das einfach zu bedienende Gerät verfügt auf der Rückseite über Digital- und Analog-Eingänge, so dass sowohl digital von einem CD-Player als auch analoges Material von einem Kassettendeck aufgenommen werden kann. Mit Hilfe eines handelsüblichen zwischengeschalteten Phono-Entzerrer-Vorverstärkers kann mit dem CD-RW890 sogar Musik von einem Plattenspieler auf CD-A gebrannt werden, wobei der Aufnahmepegel natürlich für den analogen Eingang regelbar ist.

Zusammenhängendes Audio-Material lässt sich entweder automatisch oder manuell in einzelne Titel (Tracks) unterteilen. Damit wird auch die Aufnahme ausgewählter Songs möglich, wodurch sich eine individuelle CD mit Lieblingsstücken zusammenstellen lässt.
Auch für die Wiedergabe von CDs wartet der CD-RW890 mit nützlichen Funktionen auf. So lassen sich Songtitel einzeln, zufällig oder in programmierter Folge abspielen und ganze CDs oder nur bestimmte Abschnitte wiederholen. Für den Anschluss eines Kopfhörers gibt es eine entsprechende Buchse an der Gerätefront des Rekorders, eine Fernbedienung erleichtert die Steuerung der Aufnahme- und Wiedergabefunktionen."		CD-Rekorder	
1343966 222708 IQ 2 MIDI MISCHPULT	ACTIVE	Mit dem IQ2 MIDI präsentiert Reloop den neuesten Mixer aus der zukunftsweisenden IQ-Serie. Im Gegensatz zu seinen Vorgängern ist der IQ2 MIDI komplett digital aufgebaut, mit besten, störfreien Soundeigenschaften und einem 4x4 Multichannel USB-Audio Interface in 24-Bit/96 kHz Studio Qualität. Da alle Elemente MIDI-fähig sind, kann dieser Mixer ebenfalls als MIDI-Controller verwendet und dank der MIDI-Flex Funktion können sowohl Crossfader als auch die Effekteinheit im MIDI- oder Audio-Modus eingesetzt werden. Zudem bietet der IQ2 MIDI eine Digital Matrix Input Funktion; somit können alle Audio Eingänge so wie alle MIDI-Channels flexibel auf die Kanäle geroutet werden. Die ASIO/CORE Audio Treiber garantieren absolut niedrigste Latenzzeiten für ein professionelles Niveau beim digitalen Auflegen. Neu sind auch der umkehrbare Crossfader und der 2 Battle Mode, bei dem durch den Loop Eingang ein zweiter Mixer oder DVS-System durchgeschleift werden können. Abgerundet wird der Mixer dadurch, dass er ab Werk Traktor Ready ist und kinderleicht als Preset innerhalb der Software ausgewählt werden kann. Egal ob Digital DJ, Turntablist oder Elektro Clubber - dieses Mixertalent lässt keine Wünsche offen.	Mit dem IQ2 MIDI präsentiert Reloop den neuesten Mixer aus der zukunftsweisenden IQ-Serie. Im Gegensatz zu seinen Vorgängern ist der IQ2 MIDI komplett digital aufgebaut, mit besten, störfreien Soundeigenschaften und einem 4x4 Multichannel USB-Audio Interface in 24-Bit/96 kHz Studio Qualität. Da alle Elemente MIDI-fähig sind, kann dieser Mixer ebenfalls als MIDI-Controller verwendet und dank der MIDI-Flex Funktion können sowohl Crossfader als auch die Effekteinheit im MIDI- oder Audio-Modus eingesetzt werden. Zudem bietet der IQ2 MIDI eine Digital Matrix Input Funktion; somit können alle Audio Eingänge so wie alle MIDI-Channels flexibel auf die Kanäle geroutet werden. Die ASIO/CORE Audio Treiber garantieren absolut niedrigste Latenzzeiten für ein professionelles Niveau beim digitalen Auflegen. Neu sind auch der umkehrbare Crossfader und der 2 Battle Mode, bei dem durch den Loop Eingang ein zweiter Mixer oder DVS-System durchgeschleift werden können. Abgerundet wird der Mixer dadurch, dass er ab Werk Traktor Ready ist und kinderleicht als Preset innerhalb der Software ausgewählt werden kann. Egal ob Digital DJ, Turntablist oder Elektro Clubber - dieses Mixertalent lässt keine Wünsche offen.		222708 IQ 2 MIDI MISCHPULT	
