<Name>	Category Relation Classification Reference	Online Status	Long Description	Long Description MM	Marketing Text MM	Short Description	Short Description MM
2016014 HEOS LINK SILBER/SCHWARZ	298;784;8200	ACTIVE	"HEOS Link ergänzt jedes bestehende Audiosystem oder vorliegende Aktivlautsprecher um die HEOS Multiroom-Funktion. Streamen Sie Ihre Musik aus der Cloud oder von Ihren lokalen Musikbibliotheken mithilfe der intuitiven HEOS App für iOS, Android und Kindle Fire.

Über den Vorverstärker-Ausgang oder digital optisch bzw. koaxial lässt sich HEOS Link einfach in Ihr bestehendes System einbinden. Mit Hilfe des 12V-Trigger-Ausgangs lassen sich beispielsweise Endstufen einschalten und der IR-Ausgang ermöglicht die Steuerung von vielen Denon AV-Receivern, Vollverstärkern und Systemen.

Verwandelt die bestehende HiFi-Anlage in ein HEOS System. Spielen Sie Ihre Lieblingsmusik aus einer Vielzahl von Streamingdiensten, von Ihrem Smartphone, Tablet, USB-Laufwerk oder externen Geräten. Steuern Sie einen angeschlossenen Denon AV-Receiver, Vollverstärker oder Mini-System direkt mit der HEOS App."	"<body>HEOS Link ergänzt jedes bestehende Audiosystem oder vorliegende Aktivlautsprecher um die HEOS Multiroom-Funktion. Streamen Sie Ihre Musik aus der Cloud oder von Ihren lokalen Musikbibliotheken mithilfe der intuitiven HEOS App für iOS, Android und Kindle Fire.</body>

<body>Über den Vorverstärker-Ausgang oder digital optisch bzw. koaxial lässt sich HEOS Link einfach in Ihr bestehendes System einbinden. Mit Hilfe des 12V-Trigger-Ausgangs lassen sich beispielsweise Endstufen einschalten und der IR-Ausgang ermöglicht die Steuerung von vielen Denon AV-Receivern, Vollverstärkern und Systemen.</body>

<body>Verwandelt die bestehende HiFi-Anlage in ein HEOS System. Spielen Sie Ihre Lieblingsmusik aus einer Vielzahl von Streamingdiensten, von Ihrem Smartphone, Tablet, USB-Laufwerk oder externen Geräten. Steuern Sie einen angeschlossenen Denon AV-Receiver, Vollverstärker oder Mini-System direkt mit der HEOS App.</body>"		HEOS LINK SILBER/SCHWARZ	
2022684 0011/9620 AUDIOMASTER BT MIT GLASDEKOR SILBER	225;1112;8200	ACTIVE	Der AudioMaster BT mit besonders widerstandsfähigem und optisch aufregendem Glasdekor steht für Heimkino-Sound im außergewöhnlich kompakten Gehäuse. Mit nur 50 x 30 cm Aufstellfläche und 6,5 cm Bauhöhe lässt sich die kompakte Soundbar je nach Bauart des TV-Standfußes unter, vor oder neben dem Fernseher aufstellen und einfach über ein Kabel mit Ihrem TV oder Digitalreceiver verbinden. Erstklassige Virtual Surround-Wiedergabe garantiert ein raumfüllendes Klangerlebnis mit feinsten Details - ohne zusätzliche Geräte wie z. B. einen AV-Receiver. Dolby Digital™ Decoding und DTS TruSurround™ werden ebenfalls unterstützt. Der Wiedergabemodus Stereo ist optimal zur Wiedergabe von Musik geeignet. Über seine umfangreiche Schnittstellenausstattung lässt sich der AudioMaster BT zusätzlich auch mit einem Blu-ray Player oder anderen Audio-Quellen verbinden.Via Bluetooth Audio-Streaming gibt der AudioMaster BT auch kabellos Musik von Smartphones oder Tablets wieder. Über einen Subwoofer-Anschluss kann man die Soundbar sogar zu einem vollwertigen 2.1 System ausbauen. Sie schaltet sich zudem auf Wunsch automatisch ein und aus, wenn das Zuspielgerät wie z.B. ein TV-Gerät ein- bzw. ausgeschaltet wird.			Kompakte Heimkino-Soundbar mit Bluetooth Audio-Streaming und Glasdekor	
2025875 WOODBOURNE WIRELESS	8200;784;297;301;299;300;8021;8022;8024	ACTIVE	Das Design - angeführt von dem Mahagoni Chassis - sowie der unglaubliche Klang geben dem woodbourne™ die besondere Note - die Bestnote! Der woodbourne™ scheut keine Verbindung, denn sowohl über Airplay® und Bluetooth® Wireless mit aptX® Technik, als auch mit einem digitalem (optischem) und analogem Anschluss können Sie Ihre Musikquellen mit dem woodbourne™ verbinden. So können Sie nicht nur Ihr iPad™, iPod™, Android Smartphone und andere Bluetooth® Geräte anschließen, sondern z.B. auch Ihren Fernseher, CD- oder DVD-Player direkt verbinden. Der woodbourne™ verfügt über eine exzellente Dolby® Digital Wandlung und bietet für mobile Geräte einen USB-Anschluß als Schnittstelle und Ladestation an. Endlich können Sie Ihre kleine Kompaktanlage entsorgen und durch den woodbourne™ ersetzen.			Das neue Woodbourne Wireless Bluetooth Lautsprechersystem von Polk ist ein High-Performance 2-way Soundsystem. Ausgestattet mit einem 4-Kanäle Verstärker (180 Watt), Airplay, Apt-X, und DSP Technologie.	
2183875 HEOS 1 HS2 DUOPACK BLACK	8200;784	ACTIVE	"Überzeugender Sound von einem kompakten, tragbaren Lautsprecher.
Kabelloser Genuss Deiner Lieblingssongs über Bluetooth und WLAN-Audio-Streaming. Das kompakte Gehäuse hält einer hohen Luftfeuchtigkeit stand und macht den HEOS 1 daher zum idealen Begleiter in Badezimmern. Schließen Sie USB-Sticks direkt an den USB-Port der HEOS 1 an. Für analoge Audioquellen steht ein Klinken-Eingang zur Verfügung. Der HEOS 1 ist mit erweitertem DSP (Digital Signal Processing) ausgerüstet und liefert einen satten, vollen Klang mit einer über Equalizer steuerbaren Klangabstimmung, mit der ein natürliches Klangerlebnis erzielt wird. Außerdem bietet der HEOS 1 noch eine verzerrungsarme, digitale Verstärkung getrennt für Hoch- und Mittel-/Tieftöner. Wie eine echte Zwei-Wege-Box besitzt er einen Tieftöner und Präzisions-Hochtöner. Das Gehäuse des HEOS 1 ist speziell für besten Sound in kleinen Räumen konzipiert."	"<header>Überzeugender Sound von einem kompakten, tragbaren Lautsprecher.</header>
<body>Kabelloser Genuss Deiner Lieblingssongs über Bluetooth und WLAN-Audio-Streaming. Das kompakte Gehäuse hält einer hohen Luftfeuchtigkeit stand und macht den HEOS 1 daher zum idealen Begleiter in Badezimmern. Schließen Sie USB-Sticks direkt an den USB-Port der HEOS 1 an. Für analoge Audioquellen steht ein Klinken-Eingang zur Verfügung. Der HEOS 1 ist mit erweitertem DSP (Digital Signal Processing) ausgerüstet und liefert einen satten, vollen Klang mit einer über Equalizer steuerbaren Klangabstimmung, mit der ein natürliches Klangerlebnis erzielt wird. Außerdem bietet der HEOS 1 noch eine verzerrungsarme, digitale Verstärkung getrennt für Hoch- und Mittel-/Tieftöner. Wie eine echte Zwei-Wege-Box besitzt er einen Tieftöner und Präzisions-Hochtöner. Das Gehäuse des HEOS 1 ist speziell für besten Sound in kleinen Räumen konzipiert.</body>"		Zwei HEOS 1 HS2 zum Aktionspreis im Bundle	
2183877 HEOS 1 HS2 DUOPACK WHITE	8200;784	ACTIVE	"Überzeugender Sound von einem kompakten, tragbaren Lautsprecher.
Kabelloser Genuss Deiner Lieblingssongs über Bluetooth und WLAN-Audio-Streaming. Das kompakte Gehäuse hält einer hohen Luftfeuchtigkeit stand und macht den HEOS 1 daher zum idealen Begleiter in Badezimmern. Schließen Sie USB-Sticks direkt an den USB-Port der HEOS 1 an. Für analoge Audioquellen steht ein Klinken-Eingang zur Verfügung. Der HEOS 1 ist mit erweitertem DSP (Digital Signal Processing) ausgerüstet und liefert einen satten, vollen Klang mit einer über Equalizer steuerbaren Klangabstimmung, mit der ein natürliches Klangerlebnis erzielt wird. Außerdem bietet der HEOS 1 noch eine verzerrungsarme, digitale Verstärkung getrennt für Hoch- und Mittel-/Tieftöner. Wie eine echte Zwei-Wege-Box besitzt er einen Tieftöner und Präzisions-Hochtöner. Das Gehäuse des HEOS 1 ist speziell für besten Sound in kleinen Räumen konzipiert."	"<header>Überzeugender Sound von einem kompakten, tragbaren Lautsprecher.</header>
<body>Kabelloser Genuss Deiner Lieblingssongs über Bluetooth und WLAN-Audio-Streaming. Das kompakte Gehäuse hält einer hohen Luftfeuchtigkeit stand und macht den HEOS 1 daher zum idealen Begleiter in Badezimmern. Schließen Sie USB-Sticks direkt an den USB-Port der HEOS 1 an. Für analoge Audioquellen steht ein Klinken-Eingang zur Verfügung. Der HEOS 1 ist mit erweitertem DSP (Digital Signal Processing) ausgerüstet und liefert einen satten, vollen Klang mit einer über Equalizer steuerbaren Klangabstimmung, mit der ein natürliches Klangerlebnis erzielt wird. Außerdem bietet der HEOS 1 noch eine verzerrungsarme, digitale Verstärkung getrennt für Hoch- und Mittel-/Tieftöner. Wie eine echte Zwei-Wege-Box besitzt er einen Tieftöner und Präzisions-Hochtöner. Das Gehäuse des HEOS 1 ist speziell für besten Sound in kleinen Räumen konzipiert.</body>"		HEOS 1 HS2 Stereo Bundle	
1931403 IAK-2100 1.5M ANTENNENKABEL 110DB	282;1180	ACTIVE		<body>Antennenkabel, Stecker -Buchse | Perfekt zum Anschluss eines Fernsehers oder einer Set-Top-Box an eine Antennensteckdose | Doppelt geschirmt | Ermöglicht eine störungsfreie Bild- und Tonwiedergabe | 110dB | Mit Ferritkern zur Unterdrückung hochfrequenter Störungen | Länge: 1,5 Meter</body>		IAK-2100 1.5M ANTENNENKABEL 110DB	
1931404 IAK-3100 3M ANTENNENKABEL 110DB	282;1180	ACTIVE		<body>Antennenkabel, Stecker -Buchse | Perfekt zum Anschluss eines Fernsehers oder einer Set-Top-Box an eine Antennensteckdose | Doppelt geschirmt | Ermöglicht eine störungsfreie Bild- und Tonwiedergabe | 110dB | Mit Ferritkern zur Unterdrückung hochfrequenter Störungen | Länge: 3 Meter</body>		IAK-3100 3M ANTENNENKABEL 110DB	
1927792 11157 ART VINYL WEISS SCHALLPLATTENRAHMEN	15;335;257;319;1149;294	ACTIVE		"Musikgeschmack, den man sehen kann! Guten Musikgeschmack kann man nicht nur hören. Schallplattencover sind oft kleine Kunstwerke. Über Jahre gesammelt, fristen die Cover der guten Stücke jedoch ein Dasein in der Plattenbox oder im Regal. Mit den cleveren Play & Display Flip Frames von Art Vinyl kann sich Ihr Musikgeschmack jetzt sehen lassen.
Die Play & Display Flip Frames in weiß...

Egal, ob es die Hülle der Lieblings-Schallplatte ist oder gleich eine ganze Reihe von Alben – mit den Clip-Rahmen von Art Vinyl präsentieren Sie Freunden und Bekannten Ihre Lieblingsstücke in einer eigenen kleinen Kunstausstellung.
Sekundenschnell und mit einem einfachen Handgriff lassen sich die Cover im Rahmen befestigen – und genauso schnell wieder abnehmen, wenn Sie die Platte hören möchten. Der Schallplattenrahmen bleibt dann an der Wand. Unterschiedlich dicke Hüllen gleichen die Rahmen dabei problemlos aus.

Und wenn Sie zur Lieblingsmusik noch Erinnerungsstücke zeigen möchten: Die Rahmen eignen sich genauso gut für T-Shirts, Plakate, Tickets oder andere Konzerterinnerungen."		11157 ART VINYL WEISS SCHALLPLATTENRAHMEN	
1927793 11158 ART VINYL SCHWARZ SCHALLPLATTENRAHMEN	257;319;1149;294;15;335	ACTIVE		"Zeige mir, was Du hörst ...und ich sage dir, wer du bist. Unter Liebhabern des gepflegten Ohrenschmauses fungiert Musik gern als eine Art Visitenkarte: Wer das gleiche Lieblingsalbum verehrt, gilt als verwandte Seele. Doch wie erkennt man Gleichgesinnte? Ganz einfach: Bringen Sie Ihre Lieblingsmusik nicht nur zum Klingen, sondern als Statement an die Wohnzimmerwand. Mit den Play & Display Flip Frames von Art Vinyl...

Mit den kinderleicht zu öffnenden Rahmen können Sie Ihre Lieblings-Schallplatte oder am besten gleich mehrere Cover an Ihrer Wohnzimmerwand präsentieren. Kurz antippen und der Klapp-Rahmen öffnet sich, wenn Sie die Platte hören möchten – allein, zu zweit, oder mit Freunden.

Die unterschiedlich dicken Hüllen, z.B. bei Doppelalben, gleichen die Schallplattenrahmen dank ihrer besonderen Konstruktion problemlos aus.

Unser Tipp: Die Rahmen eignen sich genauso gut für alles andere Rahmenswerte wie T-Shirts, Urlaubserinnerungen oder Werbung."		11158 ART VINYL SCHWARZ SCHALLPLATTENRAHMEN	
1927794 11159 ART VINYL 3ER WEISS SCHALLPLATTENRAHMEN	257;319;1149;294;15;335	ACTIVE		"Wechselhaft mit Aussicht auf Atmosphäre! Sie essen nicht täglich Italienisch? Und Musik hören Sie auch nach Stimmungslage? Sorgen Sie doch ebenso für Abwechslung über Ihrem Sofa! Mit den Play & Display Flip Frames von Art Vinyl wechseln Sie Ihre Wohnzimmer-Optik mit der Musik.
Das Dreier-Schallplattenrahmen-Set in weiß...

Befestigen Sie die stilvollen wie schlichten weißen Rahmen von Art Vinyl an der Wand. Kinderleicht, durch Antippen, öffnen Sie die Wechselrahmen und stecken Sie die Cover Ihrer Lieblingsalben hinein. – Oder entnehmen sie die Alben, wenn Sie die Musik auflegen möchten. Tauschen Sie Cover je nach Stimmung oder Song. So haben Sie immer eine Deko passend zur Tagesform. Schließlich ziehen Sie sich auch jeden Tag anders an und folgen trotzdem Ihrem Stil.

Und für alle, die noch mehr Atmosphäre schaffen möchten: Die Rahmen eignen sich genauso gut für T-Shirts, Mitbringsel aus dem Urlaub oder andere lieb gewonnene Erinnerungsstücke. "		11159 ART VINYL 3ER WEISS SCHALLPLATTENRAHMEN	
1927795 11160 ART VINYL 3ER SCHWARZ SCHALLPLATTENRAHMEN	257;319;1149;294;15;335	ACTIVE		"Wohnzimmer-Deko, die rockt! Filmplakate sind 80er, Kunstdrucke etwas für die Patentante? Sorgen Sie für ein Wohnzimmerdesign, das rockt! Geben Sie Ihrem ‚way of life’ das passende Ambiente: Klippen Sie einfach Ihre Lieblingsalben an die Wand. Mit den Play & Display Flip Frames von Art Vinyl, den cleveren Klapprahmen, zeigen Sie eine Kunstausstellung in Ihrem Wohnzimmer oder Büro, die einzigartig ist.

Einfach die Rahmen mit einer Schraube an der Wand befestigen und die Lieblingsalben in die edlen schwarzen Rahmen stecken – mit einem Fingertipp lassen sich die Schallplattenrahmen öffnen und die Platten zum Hören entnehmen. Ob Party, Entspannung oder Elternbesuch: Tauschen Sie die Cover, so oft Sie wollen, und Sie haben immer die passende Deko zur jeweiligen Musik. Individueller kann Raumdesign kaum sein.

Dank ihrer raffinierten Konstruktion gleichen die Rahmen unterschiedlich dicke Hüllen, z.B. bei Doppelalben, übrigens problemlos aus. "		11160 ART VINYL 3ER SCHWARZ SCHALLPLATTENRAHMEN	
2010649 84118 USB CAR CHARGER, 2 PORTS, INPUT 12-24V, OUTP	295;1192	ACTIVE	USB-Auto-Ladeadapter, 2-Ports			84118 USB CAR CHARGER, 2 PORTS, INPUT 12-24V, OUTP	
2010657 84119 USB CAR CHARGER, 3 PORTS, INPUT 12-18V, TOTA	295;1192	ACTIVE	"USB-Auto-Ladeadapter, 3-Ports Eingang 12-18V, Ausgang gesamt: 5V 5.1A max. 1x 2.1A, 1x 2A, 1x 1A, schwarz

Laden Sie schnell und effizient bis zu 2 mobile Geräte zeitgleich im Auto auf!

Mit dem ednet USB Auto-Ladeadapter sind Sie bestens ausgestattet um Ihre mobilen Geräte auch unterwegs im Auto schnell wieder aufzuladen. Bis zu 3 Geräte können zeitgleich an den USB-Ports aufgeladen werden. Durch seine Gesamtausgangsleistung von 5,1A (1A, 2A, 2,1A) können sogar 2 Tablets schnell, effizient und zeitlgleich aufgeladen werden. Dank der kompakte Bauart nimmt der ednet USB-Auto-Ladeadapter wenig Platz ein und kann somit in jedem Auto, Wohnwagen, etc. eingesetzt werden."			84119 USB CAR CHARGER, 3 PORTS, INPUT 12-18V, TOTA	
1950679 SWARO STUDIO 2.0 CHAMPAGNE	314;1136;1137;1142	ACTIVE	"Mit den streng limitierten Special Editions mit Swarovski Elements bringt Beats by Dr. Dre endlich Luxus in den Kopfhörermarkt. Die original Beats by Dr. Dre Kopfhörer werden in Deutschland von Hand veredelt, ausschließlich mit SWAROVSKI ELEMENTS Kristallen.

Qualität & deutsche Handarbeit
Die Kopfhörer werden stets mit äußerster Präzision, auf höchstem Niveau und bester Produktqualität veredelt. Die Designschmiede in Deutschland veredelt die exklusiven Exemplare in Handarbeit mit SWAROVSKI ELEMENTS.

Es kommen ausschließlich SWAROVSKI ELEMENTS – luxuriöse, präzise geschliffene Kristallelemente mit höchster Schliffpräzision, die durch eine 100%ige Reinheit und individuelle Qualitätskontrolle eine unerreichte Brillanz in unserem Produkt widerspiegeln - zum Einsatz.

Jedes der Unikate ist per Hand veredelt und qualitätsgeprüft. Die Prüfung wird zusätzlich durch die Norm EN 71-1 sichergestellt."	"<body>Mit den streng limitierten Special Editions mit Swarovski Elements bringt Beats by Dr. Dre endlich Luxus in den Kopfhörermarkt. Die original Beats by Dr. Dre Kopfhörer werden in Deutschland von Hand veredelt, ausschließlich mit SWAROVSKI ELEMENTS Kristallen.</body>
<header></header>
<header>Qualität & deutsche Handarbeit</header>
<body>Die Kopfhörer werden stets mit äußerster Präzision, auf höchstem Niveau und bester Produktqualität veredelt. Die Designschmiede in Deutschland veredelt die exklusiven Exemplare in Handarbeit mit SWAROVSKI ELEMENTS.</body>

<body>Es kommen ausschließlich SWAROVSKI ELEMENTS – luxuriöse, präzise geschliffene Kristallelemente mit höchster Schliffpräzision, die durch eine 100%ige Reinheit und individuelle Qualitätskontrolle eine unerreichte Brillanz in unserem Produkt widerspiegeln - zum Einsatz.</body>

<body>Jedes der Unikate ist per Hand veredelt und qualitätsgeprüft. Die Prüfung wird zusätzlich durch die Norm EN 71-1 sichergestellt.</body>"		Kopfhörer Studio 2.0 Swarovski Special Edition	
1950678 SWARO STUDIO 2.0 MATT BLACK	311;1136	ACTIVE		"<body>Mit den streng limitierten Special Editions mit Swarovski Elements bringt Beats by Dr. Dre endlich Luxus in den Kopfhörermarkt. Die original Beats by Dr. Dre Kopfhörer werden in Deutschland von Hand veredelt, ausschließlich mit SWAROVSKI ELEMENTS Kristallen.</body>

<header>Qualität und deutsche Handarbeit</header>
<body>Die Kopfhörer werden stets mit äußerster Präzision, auf höchstem Niveau und bester Produktqualität veredelt. Die Designschmiede in Deutschland veredelt die exklusiven Exemplare in Handarbeit mit SWAROVSKI ELEMENTS.</body>

<body>Es kommen ausschließlich SWAROVSKI ELEMENTS – luxuriöse, präzise geschliffene Kristallelemente mit höchster Schliffpräzision, die durch eine 100%ige Reinheit und individuelle Qualitätskontrolle eine unerreichte Brillanz in unserem Produkt widerspiegeln - zum Einsatz.</body>

<body>Jedes der Unikate ist per Hand veredelt und qualitätsgeprüft. Die Prüfung wird zusätzlich durch die Norm EN 71-1 sichergestellt.</body>"		Swarovski Special Edition	
1956379 IHP-1200-BE ISY STYLISH HEADPHONES BLAU		ACTIVE		"<header>Design-Kopfhörer</header>
<header></header>
<body>- Hoher Tragekomfort</body>
<body>- Kabel mit Textilmantel</body>
<body>- Vergoldeter 3.5mm Stecker</body>"		IHP-1200-BE ISY STYLISH HEADPHONES BLAU	
1973989 BEOPLAY H6 BLACK LEATHER	314;2516;51;1136	ACTIVE	"<header>H6</header>

<body>Die Over-Ear-Kopfhörer BeoPlay H6 sorgen für eine authentische Klangleistung, die sich durch saubere Mitten sowie ausgewogene Bässe und Höhen auszeichnet. Diese außergewöhnliche Audioqualität ist auf 40 mm große Treiber und kräftige Neodym-Magnete zurückzuführen, die so gestaltet sind, um eine optimale und ausgewogene Klangleistung zu liefern. Der geschlossene Kopfhörer verfügt innen außerdem über eine Bassöffnung, wodurch eine ausgewogene Bassleistung erzielt werden soll.</body>
<body>Optimaler Klang und ausgezeichnete Passform</body>

<body>Um das perfekte Klangerlebnis zu ermöglichen, führte B&O PLAY umfassende Studien zu Form und Gestaltung des menschlichen Ohrs durch, um die geeignete Form zu ermitteln, bei der der Ton aus den Kopfhörern selbst in der Umgebung kaum zu hören ist und jedes feine Detail der Musik unabhängig von der Lautstärke klar hörbar ist.</body>
<body>Hochwertige Materialien</body>

<body>Die Hauptteile des Kopfhörers sind aus eloxiertem Aluminium gefertigt. Damit ist der BeoPlay H6 nicht nur außergewöhnlich leicht, sondern auch besonders robust und kratzfest. Sogar der verstellbare Gleitbügel und die Abdeckung sind mit eloxiertem Aluminium ausgestattet, um das Design mit einem letzten eleganten Schliff zu vervollkommnen.</body>
<body>Ausdruck exzellenten Industriedesigns</body>

<body>Die Kopfhörer BeoPlay H6 wurden von dem dänischen Designer Jakob Wagner in Zusammenarbeit mit B&O PLAY gestaltet. Aufgrund seines beruflichen Werdegangs als Ingenieur und später als Industriedesigner war es ihm möglich, bei allen Praxisphasen im Designprozess mitzuwirken.</body>"			BEOPLAY H6 BLACK LEATHER	
1973990 BEOPLAY H6 NATURAL LEATHER	314;2516;51;1136	ACTIVE	"H6

Die Over-Ear-Kopfhörer BeoPlay H6 sorgen für eine authentische Klangleistung, die sich durch saubere Mitten sowie ausgewogene Bässe und Höhen auszeichnet. Diese außergewöhnliche Audioqualität ist auf 40 mm große Treiber und kräftige Neodym-Magnete zurückzuführen, die so gestaltet sind, um eine optimale und ausgewogene Klangleistung zu liefern. Der geschlossene Kopfhörer verfügt innen außerdem über eine Bassöffnung, wodurch eine ausgewogene Bassleistung erzielt werden soll.
Optimaler Klang und ausgezeichnete Passform

Um das perfekte Klangerlebnis zu ermöglichen, führte B&O PLAY umfassende Studien zu Form und Gestaltung des menschlichen Ohrs durch, um die geeignete Form zu ermitteln, bei der der Ton aus den Kopfhörern selbst in der Umgebung kaum zu hören ist und jedes feine Detail der Musik unabhängig von der Lautstärke klar hörbar ist.
Hochwertige Materialien

Die Hauptteile des Kopfhörers sind aus eloxiertem Aluminium gefertigt. Damit ist der BeoPlay H6 nicht nur außergewöhnlich leicht, sondern auch besonders robust und kratzfest. Sogar der verstellbare Gleitbügel und die Abdeckung sind mit eloxiertem Aluminium ausgestattet, um das Design mit einem letzten eleganten Schliff zu vervollkommnen.
Ausdruck exzellenten Industriedesigns

Die Kopfhörer BeoPlay H6 wurden von dem dänischen Designer Jakob Wagner in Zusammenarbeit mit B&O PLAY gestaltet. Aufgrund seines beruflichen Werdegangs als Ingenieur und später als Industriedesigner war es ihm möglich, bei allen Praxisphasen im Designprozess mitzuwirken."	"<header>H6</header>

<body>Die Over-Ear-Kopfhörer BeoPlay H6 sorgen für eine authentische Klangleistung, die sich durch saubere Mitten sowie ausgewogene Bässe und Höhen auszeichnet. Diese außergewöhnliche Audioqualität ist auf 40 mm große Treiber und kräftige Neodym-Magnete zurückzuführen, die so gestaltet sind, um eine optimale und ausgewogene Klangleistung zu liefern. Der geschlossene Kopfhörer verfügt innen außerdem über eine Bassöffnung, wodurch eine ausgewogene Bassleistung erzielt werden soll.</body>
<body>Optimaler Klang und ausgezeichnete Passform</body>

<body>Um das perfekte Klangerlebnis zu ermöglichen, führte B&O PLAY umfassende Studien zu Form und Gestaltung des menschlichen Ohrs durch, um die geeignete Form zu ermitteln, bei der der Ton aus den Kopfhörern selbst in der Umgebung kaum zu hören ist und jedes feine Detail der Musik unabhängig von der Lautstärke klar hörbar ist.</body>
<body>Hochwertige Materialien</body>

<body>Die Hauptteile des Kopfhörers sind aus eloxiertem Aluminium gefertigt. Damit ist der BeoPlay H6 nicht nur außergewöhnlich leicht, sondern auch besonders robust und kratzfest. Sogar der verstellbare Gleitbügel und die Abdeckung sind mit eloxiertem Aluminium ausgestattet, um das Design mit einem letzten eleganten Schliff zu vervollkommnen.</body>
<body>Ausdruck exzellenten Industriedesigns</body>

<body>Die Kopfhörer BeoPlay H6 wurden von dem dänischen Designer Jakob Wagner in Zusammenarbeit mit B&O PLAY gestaltet. Aufgrund seines beruflichen Werdegangs als Ingenieur und später als Industriedesigner war es ihm möglich, bei allen Praxisphasen im Designprozess mitzuwirken.</body>"		BEOPLAY H6 NATURAL LEATHER	
1973991 BEOPLAY H6 GRAPHITE BLUSH	314;2516;51;1136	ACTIVE	"H6

Die Over-Ear-Kopfhörer BeoPlay H6 sorgen für eine authentische Klangleistung, die sich durch saubere Mitten sowie ausgewogene Bässe und Höhen auszeichnet. Diese außergewöhnliche Audioqualität ist auf 40 mm große Treiber und kräftige Neodym-Magnete zurückzuführen, die so gestaltet sind, um eine optimale und ausgewogene Klangleistung zu liefern. Der geschlossene Kopfhörer verfügt innen außerdem über eine Bassöffnung, wodurch eine ausgewogene Bassleistung erzielt werden soll.
Optimaler Klang und ausgezeichnete Passform

Um das perfekte Klangerlebnis zu ermöglichen, führte B&O PLAY umfassende Studien zu Form und Gestaltung des menschlichen Ohrs durch, um die geeignete Form zu ermitteln, bei der der Ton aus den Kopfhörern selbst in der Umgebung kaum zu hören ist und jedes feine Detail der Musik unabhängig von der Lautstärke klar hörbar ist.
Hochwertige Materialien

Die Hauptteile des Kopfhörers sind aus eloxiertem Aluminium gefertigt. Damit ist der BeoPlay H6 nicht nur außergewöhnlich leicht, sondern auch besonders robust und kratzfest. Sogar der verstellbare Gleitbügel und die Abdeckung sind mit eloxiertem Aluminium ausgestattet, um das Design mit einem letzten eleganten Schliff zu vervollkommnen.
Ausdruck exzellenten Industriedesigns

Die Kopfhörer BeoPlay H6 wurden von dem dänischen Designer Jakob Wagner in Zusammenarbeit mit B&O PLAY gestaltet. Aufgrund seines beruflichen Werdegangs als Ingenieur und später als Industriedesigner war es ihm möglich, bei allen Praxisphasen im Designprozess mitzuwirken.

<header></header>"	"<header>H6</header>

<body>Die Over-Ear-Kopfhörer BeoPlay H6 sorgen für eine authentische Klangleistung, die sich durch saubere Mitten sowie ausgewogene Bässe und Höhen auszeichnet. Diese außergewöhnliche Audioqualität ist auf 40 mm große Treiber und kräftige Neodym-Magnete zurückzuführen, die so gestaltet sind, um eine optimale und ausgewogene Klangleistung zu liefern. Der geschlossene Kopfhörer verfügt innen außerdem über eine Bassöffnung, wodurch eine ausgewogene Bassleistung erzielt werden soll.</body>
<body>Optimaler Klang und ausgezeichnete Passform</body>

<body>Um das perfekte Klangerlebnis zu ermöglichen, führte B&O PLAY umfassende Studien zu Form und Gestaltung des menschlichen Ohrs durch, um die geeignete Form zu ermitteln, bei der der Ton aus den Kopfhörern selbst in der Umgebung kaum zu hören ist und jedes feine Detail der Musik unabhängig von der Lautstärke klar hörbar ist.</body>
<body>Hochwertige Materialien</body>

<body>Die Hauptteile des Kopfhörers sind aus eloxiertem Aluminium gefertigt. Damit ist der BeoPlay H6 nicht nur außergewöhnlich leicht, sondern auch besonders robust und kratzfest. Sogar der verstellbare Gleitbügel und die Abdeckung sind mit eloxiertem Aluminium ausgestattet, um das Design mit einem letzten eleganten Schliff zu vervollkommnen.</body>
<body>Ausdruck exzellenten Industriedesigns</body>

<body>Die Kopfhörer BeoPlay H6 wurden von dem dänischen Designer Jakob Wagner in Zusammenarbeit mit B&O PLAY gestaltet. Aufgrund seines beruflichen Werdegangs als Ingenieur und später als Industriedesigner war es ihm möglich, bei allen Praxisphasen im Designprozess mitzuwirken.</body>"		BEOPLAY H6 GRAPHITE BLUSH	
